Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0414130360937032,0.0406718044276676,0.0386845489683347,0,0,0,0.387673822333728,0.000777649014838783,-2.70111444450103E-07,-7.00973333936696E-06,0.000718387993685806,-8.02049294338554E-07,0.000791143378494354,0,0,0,0,0,0,package://dummy2-SLDASM/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://dummy2-SLDASM/meshes/base_link.STL,,零件13-2,baselink,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l1,-0.0268097306667045,0.0061116536751003,0.0344105097027378,0,0,0,0.192001345237372,0.000147744871448353,1.13806376663796E-05,4.25401315058094E-05,0.0001569950998556,-8.57280178037159E-06,0.000177766490295347,0,0,0,0,0,0,package://dummy2-SLDASM/meshes/l1.STL,1,1,1,1,0,0,0,0,0,0,package://dummy2-SLDASM/meshes/l1.STL,,j1-1,j1,l1,j1,revolute,0.039254,0.040732,0.082,0,0,0,base_link,0,0,-1,0,0,-3.14,3.14,,,,,,,,
l2,-0.101936865972063,0.00934308835331846,-0.0224526389450591,0,0,0,0.318818356706658,0.000206610508619923,3.94814814523405E-05,-0.000102200818567579,0.00102000888701362,5.38089508992778E-06,0.000905604449596095,0,0,0,0,0,0,package://dummy2-SLDASM/meshes/l2.STL,1,1,1,1,0,0,0,0,0,0,package://dummy2-SLDASM/meshes/l2.STL,,j2-1,j2,l2,j2,revolute,-0.038244,0.048223,0.042403,1.5708,0,-3.138,l1,0,0,1,0,0,-3.14,3.14,,,,,,,,
l3,-0.000219528521521448,-0.0664353003081321,-0.0227777072287975,0,0,0,0.177031913277576,0.000196456886500336,-8.24948034605403E-06,-4.6985201760811E-06,0.000100949845669949,-2.22200477334224E-05,0.000243511117382028,0,0,0,0,0,0,package://dummy2-SLDASM/meshes/l3.STL,1,1,1,1,0,0,0,0,0,0,package://dummy2-SLDASM/meshes/l3.STL,,j3-1,j3,l3,j3,revolute,-0.16835,0.013027,0.01915,0,0,-3.1416,l2,0,0,1,0,0,-3.14,3.14,,,,,,,,
l4,0.00874654693686563,-0.00127604542355547,0.0721271141380532,0,0,0,0.169343229289386,0.00027281936323889,-9.63634745003788E-07,-4.44817061378368E-05,0.000325039450118555,-5.50443313162382E-06,8.92852039117135E-05,0,0,0,0,0,0,package://dummy2-SLDASM/meshes/l4.STL,1,1,1,1,0,0,0,0,0,0,package://dummy2-SLDASM/meshes/l4.STL,,j4-1,j4,基准轴7,j4,revolute,-0.045947,-0.050217,-0.02515,3.0305,1.5708,0,l3,0,0,1,0,0,-3.14,3.14,,,,,,,,
l5,0.0500153536436557,-0.00547381409768788,-0.0586137582254118,0,0,0,0.0670202058804507,1.68657339889353E-05,3.17253751758574E-06,-8.99907398513974E-06,4.55003217210313E-05,9.52841115072623E-07,4.09722921610714E-05,0,0,0,0,0,0,package://dummy2-SLDASM/meshes/l5.STL,1,1,1,1,0,0,0,0,0,0,package://dummy2-SLDASM/meshes/l5.STL,,j5-1,j5,l5,j5,revolute,-0.014464,6.6846E-05,0.11,-1.5708,-1.4597,1.5662,l4,1.2959E-05,0,-1,0,0,-3.14,3.14,,,,,,,,
l6,-0.00283589130470663,1.12710801802862E-09,-1.36973973829946E-10,0,0,0,0.00415080289875084,3.00184162632802E-07,5.10999069610954E-14,-6.28325375025606E-15,4.3918602149999E-07,-2.66742896235655E-11,4.38947040816448E-07,0,0,0,0,0,0,package://dummy2-SLDASM/meshes/l6.STL,1,1,1,1,0,0,0,0,0,0,package://dummy2-SLDASM/meshes/l6.STL,,磁吸-1,end11,end,j6,revolute,0.10639,-0.011454,-0.052611,0.0046211,0,-0.11025,l5,-1,0,0,0,0,-3.14,3.14,,,,,,,,
